2021-11-11 07:44:27.4152|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-11 07:44:27.6606|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-11 07:44:27.8224|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-11 09:28:25.7708|0|INFO|FundooNotes.Controllers.UserController|Bhanu Latha is trying to register |url: |action: |
2021-11-11 09:28:25.8699|0|INFO|FundooNotes.Controllers.UserController|Bhanu Latha Registration Successful |url: |action: |
2021-11-11 10:45:15.0560|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-11 10:45:15.3626|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-11 10:45:15.4915|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-11 11:17:50.6462|0|INFO|FundooNotes.Controllers.UserController|Janny Fer is trying to register |url: |action: |
2021-11-11 11:17:54.7502|0|INFO|FundooNotes.Controllers.UserController|Janny Fer Registration Successful |url: |action: |
2021-11-11 12:33:50.3773|0|INFO|FundooNotes.Controllers.UserController|Padma padmavathi is trying to register |url: |action: |
2021-11-11 12:33:50.5591|0|INFO|FundooNotes.Controllers.UserController|Padma padmavathi Registration Successful |url: |action: |
2021-11-11 12:43:34.5407|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-11 12:43:35.0671|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-11 12:43:35.3406|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-11 12:48:23.6605|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-11 12:48:24.1017|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-11 12:48:24.2146|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-11 16:32:53.5811|0|INFO|FundooNotes.Controllers.UserController|Harika Teja is trying to register |url: |action: |
2021-11-11 16:32:53.7666|0|INFO|FundooNotes.Controllers.UserController|Harika Teja Registration Successful |url: |action: |
