2021-11-06 08:22:18.1976|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-06 08:22:21.8847|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-06 08:22:30.8715|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-06 08:35:07.4518|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-06 08:35:07.5654|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-06 08:35:07.6491|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-06 08:37:33.1716|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-06 08:37:33.3877|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-06 08:37:33.4771|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-06 08:41:47.1680|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-06 08:41:47.9438|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-06 08:41:48.1965|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-06 08:48:26.7879|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-06 08:48:27.0135|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-06 08:48:27.0567|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
2021-11-06 09:39:35.0734|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-06 09:39:35.2424|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-06 09:39:35.3213|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\HP\source\felloeship\FundooNotes\FundooNotes |url: |action: |
